"test_id","lab_id","BMP_id","substrate","ISR","time_d","BMP","sd","se","rsd","n","n_blank"
226,37,410,"CEL",4.02,46.7,395.99,5.27,3.04,1.33,3,3
226,37,411,"SC",2.01,46,468.15,10.02,5.01,2.14,4,3
226,37,412,"SD",1,46.7,301.01,3.97,1.98,1.32,4,3
223,38,413,"CEL",2.01,50,357.63,21.68,12.52,6.06,3,3
223,38,414,"SC",2,50,521.38,21.32,12.31,4.09,3,3
223,38,415,"SD",1,50,280.37,4.86,2.43,1.73,4,3
211,39,416,"CEL",3.6,41.1,380.28,17.6,10.16,4.63,3,3
211,39,417,"SC",3.32,41.1,562.65,57.16,33,10.16,3,3
211,39,418,"SD",1.68,54,343.05,1.96,1.13,0.57,3,3
220,39,419,"CEL",1.18,41.1,369.38,6.07,3.51,1.64,3,3
220,39,420,"SC",1.11,41.1,517.57,13.48,7.78,2.6,3,3
220,39,421,"SD",0.55,47,271.16,4.95,2.86,1.82,3,3
264,39,422,"CEL",1.18,41.1,366.41,5.81,3.35,1.59,3,3
264,39,423,"SC",1.11,41.1,508.19,8.88,5.12,1.75,3,3
264,39,424,"SD",0.55,47,275.3,2.65,1.53,0.96,3,3
274,39,425,"CEL",3.6,41.1,373.72,13.49,7.79,3.61,3,3
274,39,426,"SC",3.32,41.1,540.96,22.99,13.27,4.25,3,3
274,39,427,"SD",1.68,54,326.91,7.41,4.28,2.27,3,3
201,40,428,"CEL",2,39,359.74,13.96,8.06,3.88,3,3
201,40,429,"SC",1.99,39,495.04,13.48,7.78,2.72,3,3
260,40,430,"CEL",1.99,46,332.23,32.03,18.49,9.64,3,3
260,40,431,"SC",1.85,46,462.19,36.09,20.84,7.81,3,3
260,40,432,"SD",0.92,46,309.68,10.94,6.32,3.53,3,3
