"test_id","lab_id","BMP_id","bottle_id","interval_id","time_d","substrate","ISR","SMP"
103,9,23,86,1066,0,"CEL",1.99,0
103,9,23,86,1067,0.7,"CEL",1.99,17.31
103,9,23,86,1068,1.1,"CEL",1.99,90.73
103,9,23,86,1069,1.7,"CEL",1.99,158.64
103,9,23,86,1070,2.1,"CEL",1.99,197.43
103,9,23,86,1071,2.7,"CEL",1.99,234.11
103,9,23,86,1072,4.1,"CEL",1.99,279.83
103,9,23,86,1073,5.7,"CEL",1.99,305.16
103,9,23,86,1074,7.7,"CEL",1.99,321.89
103,9,23,86,1075,9.8,"CEL",1.99,326.24
103,9,23,86,1076,13.7,"CEL",1.99,336.4
103,9,23,86,1077,17.8,"CEL",1.99,340.62
103,9,23,86,1078,23.1,"CEL",1.99,343.98
103,9,23,86,1079,30.1,"CEL",1.99,348.91
103,9,23,86,1080,37.7,"CEL",1.99,349.59
103,9,23,87,1081,0,"CEL",2,0
103,9,23,87,1082,0.7,"CEL",2,17.77
103,9,23,87,1083,1.1,"CEL",2,89.67
103,9,23,87,1084,1.7,"CEL",2,158.29
103,9,23,87,1085,2.1,"CEL",2,196.83
103,9,23,87,1086,2.7,"CEL",2,233.01
103,9,23,87,1087,4.1,"CEL",2,279.62
103,9,23,87,1088,5.7,"CEL",2,304.68
103,9,23,87,1089,7.7,"CEL",2,319.78
103,9,23,87,1090,9.8,"CEL",2,328.39
103,9,23,87,1091,13.7,"CEL",2,335.1
103,9,23,87,1092,17.8,"CEL",2,339.01
103,9,23,87,1093,23.1,"CEL",2,344.64
103,9,23,87,1094,30.1,"CEL",2,347.09
103,9,23,87,1095,37.7,"CEL",2,351.08
103,9,23,88,1096,0,"CEL",2.01,0
103,9,23,88,1097,0.7,"CEL",2.01,17.65
103,9,23,88,1098,1.1,"CEL",2.01,90.14
103,9,23,88,1099,1.7,"CEL",2.01,153.34
103,9,23,88,1100,2.1,"CEL",2.01,192.15
103,9,23,88,1101,2.7,"CEL",2.01,228.22
103,9,23,88,1102,4.1,"CEL",2.01,271.4
103,9,23,88,1103,5.7,"CEL",2.01,294.29
103,9,23,88,1104,7.7,"CEL",2.01,311.19
103,9,23,88,1105,9.8,"CEL",2.01,320.73
103,9,23,88,1106,13.7,"CEL",2.01,325.19
103,9,23,88,1107,17.8,"CEL",2.01,329.51
